GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank-hex,com.bank.infrastructure.security,InMemoryAuthService,21,18,4,0,4,2,3,1,1,1
bank-hex,com.bank.infrastructure.security,InMemoryAuthService.UserRecord,0,9,0,0,0,1,0,1,0,1
bank-hex,com.bank.infrastructure.security,JwtTokenProvider,2,61,0,0,1,22,1,4,1,4
bank-hex,com.bank.infrastructure.security,JwtFilter,0,57,1,5,0,15,1,4,0,2
bank-hex,com.bank.application.mapper,CuentaMapperImpl,4,39,2,2,2,13,2,3,0,3
bank-hex,com.bank.application.mapper,TransaccionMapperImpl,2,33,2,2,1,11,2,2,0,2
bank-hex,com.bank,BankHexApplication,5,3,0,0,2,1,1,1,1,1
bank-hex,com.bank.infrastructure.config,SecurityConfig,0,58,0,0,0,12,0,4,0,4
bank-hex,com.bank.infrastructure.config,AppConfig,0,14,0,0,0,3,0,3,0,3
bank-hex,com.bank.infrastructure.config,OpenApiConfig,0,40,0,0,0,10,0,2,0,2
bank-hex,com.bank.application.dto,AuthResponse,19,27,0,0,10,10,5,5,5,5
bank-hex,com.bank.application.dto,TransferenciaRequest,0,24,0,0,0,10,0,7,0,7
bank-hex,com.bank.application.dto,LoginRequest,0,17,0,0,0,7,0,5,0,5
bank-hex,com.bank.application.dto,TransaccionDTO,3,18,0,0,1,7,1,3,1,3
bank-hex,com.bank.application.dto,MovimientoRequest,0,10,0,0,0,4,0,3,0,3
bank-hex,com.bank.application.dto,CrearCuentaRequest,0,17,0,0,0,7,0,5,0,5
bank-hex,com.bank.application.dto,CuentaDTO,0,15,0,0,0,6,0,3,0,3
bank-hex,com.bank.domain.exception,CuentaNoEncontradaException,3,8,0,0,1,3,1,1,1,1
bank-hex,com.bank.domain.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
bank-hex,com.bank.domain.exception,SaldoInsuficienteException,0,4,0,0,0,2,0,1,0,1
bank-hex,com.bank.application.usecase,CuentaUseCase,0,93,0,0,0,27,0,8,0,8
bank-hex,com.bank.domain.model,Cuenta,15,86,5,9,3,24,5,12,0,10
bank-hex,com.bank.domain.model,Transaccion,1,36,1,1,0,12,1,6,0,6
bank-hex,com.bank.domain.model,TipoTransaccion,0,15,0,0,0,3,0,1,0,1
bank-hex,com.bank.domain.service,CuentaService,95,309,2,4,16,66,5,10,3,9
bank-hex,com.bank.infrastructure.persistence.entity,TransaccionEntity,0,34,0,0,0,10,0,10,0,10
bank-hex,com.bank.infrastructure.persistence.entity,CuentaEntity,0,20,0,0,0,6,0,6,0,6
bank-hex,com.bank.domain.event,TransaccionCreadaEvent,0,10,0,0,0,4,0,2,0,2
bank-hex,com.bank.domain.event,TransaccionEventListener,0,40,0,0,0,8,0,4,0,4
bank-hex,com.bank.infrastructure.web,CuentaController,0,43,0,0,0,13,0,8,0,8
bank-hex,com.bank.infrastructure.web,AuthController,0,39,0,0,0,8,0,2,0,2
bank-hex,com.bank.infrastructure.web,GlobalExceptionHandler,0,84,0,0,0,16,0,4,0,4
bank-hex,com.bank.infrastructure.persistence.adapter,CuentaRepositoryAdapter,22,55,1,1,4,14,2,4,1,4
bank-hex,com.bank.infrastructure.persistence.adapter,TransaccionRepositoryAdapter,0,71,0,0,0,24,0,4,0,4
